PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |def monotonic if monotonic use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False Fallback to GetTickCount GetTickCount64 which has a lower resolution return get tick count monotonic use performance counter True monotonic delta 2 32 monotonic last ticks return ticks monotonic delta monotonic last 0 monotonic delta 0
PEP null | | issues | |It is not reliable and has too much issues .
PEP null | | stalled | |def monotonic if monotonic use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False Fallback to GetTickCount GetTickCount64 which has a lower resolution return get tick count monotonic use performance counter True monotonic delta 2 32 monotonic last ticks return ticks monotonic delta monotonic last 0 monotonic delta 0
PEP null | | issues | |It is not reliable and has too much issues .
PEP null | | stalled | |def monotonic if monotonic use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False Fallback to GetTickCount GetTickCount64 which has a lower resolution return get tick count monotonic use performance counter True monotonic delta 2 32 monotonic last ticks return ticks monotonic delta monotonic last 0 monotonic delta 0
PEP null | | issues | |It is not reliable and has too much issues .
PEP null | | stalled | |def highres if monotonic use performance counter if highres use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False highres use performance counter False if highres use monotonic Monotonic clock is preferred over system clock try 194,13 194,8 Clocks
PEP null | | stalled | |def highres -LRB- -RRB- : if monotonic use_performance_counter : if highres use_performance_counter : try : return _ time QueryPerformanceCounter -LRB- -RRB- except OSError : # QueryPerformanceFrequency -LRB- -RRB- may fail , if the installed # hardware does not support a high-resolution performance # counter for example monotonic use_performance_counter = False highres use_performance_counter = False if highres use_monotonic : # Monotonic clock is preferred over system clock try : @@ -194,13 +194,8 @@ Clocks ======
PEP null | | stalled | |def highres if monotonic use performance counter if highres use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False highres use performance counter False if highres use monotonic Monotonic clock is preferred over system clock try 194,13 194,8 Clocks
