PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 256 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 257 | null | consensus | To establish a standard docstring format by attaining accepted '' status Python community consensus BDFL pronouncement . | 1 . | 
PEP 257 | null | consensus | To establish a standard docstring format by attaining accepted '' status Python community consensus BDFL pronouncement . | 1 . | 
PEP 258 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 259 | null | support | txt Support for wide '' Unicode characters Prescod Py in the sky PEPs not ready may become active yet 191,195 SR 259 pep 0259 . | txt Simplify xrange van Rossum S 261 pep 0261 . | 
PEP 263 | updated | discussion | So after discussion with MAL , I have updated the PEP to reflect this strategy . | Still , providing the transitional warning of phase 1 is desirable , and indeed possible with this implementation . | There are only minimal user visible changes     more encodings can be supported even in phase 1 , in particular those based on ISO 2022    provided that the proper codecs are available  )    it is now an error if the declared encoding and the text do not match .
PEP 263 | null | support | Category IDLE Group None Status Open Priority 5 Submitted By Martin v. L wis loewis Summary PEP 263 support in IDLE | Patches item 590913 , was opened at 2002 08 04 19 56 You can respond by visiting https sourceforge.nettracker?func detail atid 305470 aid 590913 group id 5470 | 
PEP 263 | null | support | Category IDLE Group None Status Open Priority 5 Submitted By Martin v. L wis loewis Summary PEP 263 support in IDLE | Patches item 590913 , was opened at 2002 08 04 19 56 You can respond by visiting https sourceforge.nettracker?func detail atid 305470 aid 590913 group id 5470 | 
PEP 263 | proposal | discussion | In the discussion of PEP 263 , I proposed that the external encoding of Python scripts themselves be fixed as UTF 8 , and other encodings would have to be pretranslated by an appropriate codec . | I think it would be reasonable to make UTF 8 the default encoding on all platforms , except for internal OS functions , where Windows will presumably continue to use UTF 16 and nix distros will probably continue to agree to disagree about whether on disk format is NFD or NFC and the Python language as yet does n't know about NFC v. NFD , although the library does . | That was shouted down by the European contingent , who wanted to continue using Latin 1 and Latin 2 without codecs or a wrapper to call them transparently .
PEP 272 | null | discussion | There was a bunch of subsequent discussion on Python crypto that led up to the current proposal , and that seems to have done a better job . | In fact , I do n't think any module implementing PEP 272 has ever been written , and the interface it describes is n't that great , so I would n't call the PEP process a big success where block ciphers are concerned . | That 's reasonable for modules written in Python , but I do n't subscribe to that idea for modules written in C. I ca n't expect the users to have C compilers , and I do n't have the dev tools to compile binaries of the module for every platform people might want to use it on .
PEP 276 | null | discussion | The recent discussions around PEP 276 suggests that some people like the idea of a Haskell esque syntax whereby one specifies a list of numbers using a closed interval notation that includes a starting number , a secondary number that helps to establish the step size , an ellipsis style notation , and an ending number or variants on the above . | As PEP 276 notes , there appears to be interest in the Python community for inventing new syntax or other mechanisms that makes it easier and more natural to specify a list of numbers for clarity of indexed for loop based algorithms and other scenarios . | 
PEP 276 | null | majority | The majority of disagreement with PEP 276 came from those who favor much larger changes to Python to address the more general problem of specifying a sequence of integers where such a specification is general enough to handle the starting value , ending value , and stepping value of the sequence and also addresses variations of open , closed , and half open half closed integer intervals . | index item | 
PEP 276 | null | majority | The majority of disagreement with PEP 276 came from those who favor much larger changes to Python to address the more general problem of specifying a sequence of integers where such a specification is general enough to handle the starting value , ending value , and stepping value of the sequence and also addresses variations of open , closed , and half open half closed integer intervals . | index item | 
PEP 276 | null | majority | The majority of disagreement with PEP 276 came from those who favor much larger changes to Python to address the more general problem of specifying a sequence of integers where such a specification is general enough to handle the starting value , ending value , and stepping value of the sequence and also addresses variations of open , closed , and half open half closed integer intervals . | Why not propose even bigger changes ? | 
PEP 276 | null | majority | The majority of disagreement with PEP 276 came from those who favor much larger changes to Python to address the more general problem of specifying a sequence of integers where such a specification is general enough to handle the starting value , ending value , and stepping value of the sequence and also addresses variations of open , closed , and half open half closed integer intervals . | Why not propose even bigger changes ? | 
PEP 276 | null | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | null | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | null | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | null | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | null | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | null | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 276 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
